	city name	full city name	Urban Population	Built-up Area (km2)	Income Per Capita (RMB)	GDP (10000 RMB)	CO2 Emissions Per Capita (Ton)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Emissions Protocol
1	Beijing	Bejing	16446857	1733.8	66458.74	139044131	4.56651863677	75104879.0068	PKU	tCO2	2010	Other
2	Tianjin	Tianjin	9562255	1294.1	53192.42	85614571	3.64	34806608.2	PKU	tCO2	2010	Other
3	Shijiazhuang	Shijiazhuang	5145133	297.3	33339.28	12397815	1.26813755136	6524736.36402	PKU	tCO2	2010	Other
4	Tangshan	Tangshan	3850975	417.8	41297.75	22626477	1.501608	5782654.8678	PKU	tCO2	2010	Other
5	Handan	Handan	3985686	148.1	36975.23	5444810	0.754109514077	3005643.73272	PKU	tCO2	2010	Other
6	Baoding	Baoding	4340339	133.1	30710.71	5434022	0.678879734794	2946568.18924	PKU	tCO2	2010	Other
7	Zhangjiakou	Zhangjiakou	1962450	145.1	35681.25	3614862	0.606961996548	1191132.57013	PKU	tCO2	2010	Other
8	Taiyuan, Shanxi	Taiyuan	3467987	246	39453.99	16222978	0.974897781548	3380932.83274	PKU	tCO2	2010	Other
9	Datong	Datong	1822112	185.4	36137.7	5638726	0.822655480591	1498970.42305	PKU	tCO2	2010	Other
10	Hohhot	Huhehaote	1790682	244.9	41255.52	11949374	1.52	2721836.64	PKU	tCO2	2010	Other
11	Baotou	Baotou	2106757	349.5	41527.24	20814400	1.596385	3363195.27344	PKU	tCO2	2010	Other
12	Shenyang	Shenyang	6247700	591	42649.95	41849101	2.04	12745308.0	PKU	tCO2	2010	Other
13	Dalian	Dalian	4979140	513.5	46214.99	34322142	2.29926470118	11448360.8442	PKU	tCO2	2010	Other
14	Anshan	Anshan	2449061	200.8	36028.53	12561795	1.34474582128	3293364.54581	PKU	tCO2	2010	Other
15	Fushun	Fushun	1531774	142.3	36060.07	6631375	0.976612	1495948.86969	PKU	tCO2	2010	Other
16	Benxi	Benxi	1271246	64.6	32087.63	6283596	0.681290269103	866087.529437	PKU	tCO2	2010	Other
17	Dandong	Dandong	1475118	95.2	25111.7	2609429	0.441072141057	650633.454572	PKU	tCO2	2010	Other
18	Jinzhou	Jinzhou	1496433	120.5	33390.31	4391806	0.613918948728	918688.574202	PKU	tCO2	2010	Other
19	Fuxin	Fuxin	954714	79.1	26098.08	1991737	0.399284933976	381202.916456	PKU	tCO2	2010	Other
20	Liaoyang	Liaoyang	1039033	81.2	34104.15	3784717	0.562260826104	584207.552929	PKU	tCO2	2010	Other
21	Changchun	Changchun	4258161	461.1	38863.14	23639084	1.18104	5029058.46744	PKU	tCO2	2010	Other
22	Jilin	Jilin	2486066	180.3	35685.57	10241814	0.944832	2348914.71091	PKU	tCO2	2010	Other
23	Haerbin	Haerbin	6501848	349.6	35025.27	25819543	1.56	10142882.88	PKU	tCO2	2010	Other
24	Qiqihaer	Qiqihaer	2366355	154.1	31794.22	4413846	0.6119075299	1447990.44292	PKU	tCO2	2010	Other
25	Jixi	Jixi	1223140	64.5	31266.77	1635323	0.389216009608	476065.669992	PKU	tCO2	2010	Other
26	Hegang	Hegang	810873	64.7	30882.52	1623340	0.378047799552	306548.753366	PKU	tCO2	2010	Other
27	Daqing	Daqing	1846892	207.5	49135.63	26330980	2.103472	3884885.60902	PKU	tCO2	2010	Other
28	Heilongjiang	Yichun	964391	61.8	16261.46	1358483	0.363462839327	350520.291081	PKU	tCO2	2010	Other
29	Jiamusi	Jiamusi	1355497	57.1	33718	2561501	0.365305620079	495170.672101	PKU	tCO2	2010	Other
30	Mudanjiang	Mudanjiang	1610348	74.3	32498.01	2354881	0.462093915341	744132.012381	PKU	tCO2	2010	Other
31	Shanghai	Shanghai	20217748	1921.1	71923.6	169715503	2.35133671793	47538733.2263	PKU	tCO2	2010	Other
32	Nanjing, Jiangsu	Nanjing	6238186	736.6	49704.21	45152168	1.55322211	9689288.42149	PKU	tCO2	2010	Other
33	Wuxi	Wuxi	4481903	454.4	49705.69	29865582	1.46633968805	6571992.2469	PKU	tCO2	2010	Other
34	Xuzhou	Xuzhou	4561500	285.8	40172.96	17794683	1.231656	5618198.844	PKU	tCO2	2010	Other
35	Changzhou	Changzhou	2900970	329.5	47798.85	23162600	1.4242956244	4131838.87751	PKU	tCO2	2010	Other
36	Suzhou	Suzhou	7329514	832.1	48407	35727500	1.48958612877	10917942.385	PKU	tCO2	2010	Other
37	Hangzhou	Hangzhou	6372650	672.4	49936.46	47407788	3.188562052	20319589.9607	PKU	tCO2	2010	Other
38	Ningbo	Ningbo	5195162	422.8	46353.97	30621613	1.26332700063	6563188.42724	PKU	tCO2	2010	Other
39	Hefei	Hefei	3887273	393.7	40652.46	19204471	1.32	5131200.36	PKU	tCO2	2010	Other
40	Huainan	Huainan	1442117	165.7	47477.12	4315738	0.78	1124851.26	PKU	tCO2	2010	Other
41	Huaibei	Huaibei	1119551	99.9	44978.6	3487685	1.18104	1322234.51304	PKU	tCO2	2010	Other
42	Fuzhou	Fuzhou	4408076	518.1	38012.8	15435522	1.63083987001	7188866.09081	PKU	tCO2	2010	Other
43	Xiamen	Xiamen	3119110	341.8	40282.94	20600737	1.05	3275065.5	PKU	tCO2	2010	Other
44	Nanchang	Nanchang	3313235	300.9	38344.43	15009764	0.75	2484926.25	PKU	tCO2	2010	Other
45	Jinan, Shandong	Jinan	4392922	626.6	41025.84	29598443	1.76	7731542.72	PKU	tCO2	2010	Other
46	Qingdao	Qingdao	5735439	919.6	43533.95	32305706	2.53942811037	14564735.0219	PKU	tCO2	2010	Other
47	Zibo	Zibo	2859540	384.7	35620.91	22185236	1.197912	3425477.28048	PKU	tCO2	2010	Other
48	Zhaozhuang	Zhaozhuang	1764366	119.8	33456.58	7281161	0.911088	1607492.69021	PKU	tCO2	2010	Other
49	Yantai	Yantai	3851425	265.9	37765.78	18602672	1.17650039474	4531203.03283	PKU	tCO2	2010	Other
50	Weifang	Weifang	4266496	191.9	35954.39	7973635	1.01232	4319059.23072	PKU	tCO2	2010	Other
51	Taian	Taian	2766209	154.3	30480.28	6114006	0.730166833573	2019794.06653	PKU	tCO2	2010	Other
52	Linyi	Lingyi	4522930	345.5	35454.96	9057300	1.2654	5723315.622	PKU	tCO2	2010	Other
53	Zhengzhou	Zhengzhou	5477495	495.6	35794.33	17539158	1.333451	7303971.18524	PKU	tCO2	2010	Other
54	Kaifeng	Kaifeng	1658481	74.9	24873.49	2174801	0.532027760302	882357.931934	PKU	tCO2	2010	Other
55	Luoyang	Luoyang	2888355	193.6	31587.96	7262821	0.877344	2534080.92912	PKU	tCO2	2010	Other
56	Pingdingshan	Pingdingshan	2022420	163.4	35217.93	4813034	0.459777528012	929863.268202	PKU	tCO2	2010	Other
57	Anyang	Anyang	1985666	161.1	34583.21	3637605	0.462207237668	917789.196792	PKU	tCO2	2010	Other
58	Xinxiang	Xinxiang	2328848	118.9	24732.98	3316177	0.2653582094	617978.935245	PKU	tCO2	2010	Other
59	Jiaozhuo	Jiaozhuo	1657588	121.7	29761.86	2522205	0.49194801888	815447.132719	PKU	tCO2	2010	Other
60	Wuhan	Wuhan	7541527	822.2	40806.05	45591116	0.95	7164450.65	PKU	tCO2	2010	Other
61	Huangshi	Huangshi	1379941	122.3	28787.55	3525200	0.408322369844	563460.779364	PKU	tCO2	2010	Other
62	Xiangyang	Xiangyang	2752370	131.2	29145.94	8598175	0.691752	1903957.45224	PKU	tCO2	2010	Other
63	Jingzhou	Jingzhou	2416702	71.7	26507.64	2975773	0.322290158086	778879.269628	PKU	tCO2	2010	Other
64	Changsha, Hunan	Changsha	4765918	433.3	40156.9	26277475	0.83	3955711.94	PKU	tCO2	2010	Other
65	Zhuzhou	Zhuzhou	2178616	120.7	36828.15	6480199	0.52	1132880.32	PKU	tCO2	2010	Other
66	Xiangtan	Xiangtan	1379021	112.3	28614.2	5293637	0.433605335055	597950.862753	PKU	tCO2	2010	Other
67	Hengyang	Hengyang	3180864	94.4	34931.28	3885300	0.32394807421	1030434.76712	PKU	tCO2	2010	Other
68	Guangzhou	Guangzhou	10641408	918.7	56754.92	98794145	1.98	21069987.84	PKU	tCO2	2010	Other
69	Shenzhen	Shenzhen	10358381	932.6	50455.03	95815101	1.97370200148	20444357.3118	PKU	tCO2	2010	Other
70	Shantou	Shantou	3689655	230.9	27836.15	11995195	0.6	2213793.0	PKU	tCO2	2010	Other
71	Zhanjiang	Zhanjiang	2565740	95.1	38476.71	7690724	0.69	1770360.6	PKU	tCO2	2010	Other
72	Nanning	Nanning	3578333	262.3	39013.88	13039407	1.01732512932	3640328.08198	PKU	tCO2	2010	Other
73	Liuzhou	Liuzhou	2166882	148.3	39919.53	9111262	0.486007416917	1053120.72358	PKU	tCO2	2010	Other
74	Haikou	Haikou	1517410	139.9	34191.99	5951444	0.58	880097.8	PKU	tCO2	2010	Other
75	Chongqing	Chongqing	10778685	452.3	37288.31	58506100	0.88	9485242.8	PKU	tCO2	2010	Other
76	Chengdou	Chengdou	9237015	783	40023.38	39324694	1.08	9975976.2	PKU	tCO2	2010	Other
77	Guiyang	Guiyang	2932285	202.8	31050.91	8258351	0.361320940841	1059495.97501	PKU	tCO2	2010	Other
78	Kunming	Kuiming	4337798	381.1	42441.39	15486520	0.610821812854	2649621.63815	PKU	tCO2	2010	Other
79	Xi'an, Shaanxi	Xi'an	5842704	509.9	39490.19	27629200	1.64	9582034.56	PKU	tCO2	2010	Other
80	Lanzhou	Lanzhou	2758558	183.3	35041.18	8772645	0.960298554765	2649039.26064	PKU	tCO2	2010	Other
81	Xining	Xining	1406894	127.7	33465.79	4404121	0.573927021881	807454.483523	PKU	tCO2	2010	Other
82	Yinchuan	Yinchuan	1445405	187.8	46503.15	5120401	1.41115611509	2039692.10453	PKU	tCO2	2010	Other
83	Ürümqi (Wulumqi)	Wulumuqi	2865395	285.4	41207.99	13204006	1.915662	5489128.31649	PKU	tCO2	2010	Other
